Initial makespan = 2792, Initial flowtime = 0, runtime = 40.4354
Iteration 1, Neighborhood size 32, Makespan = 2696, Flowtime = 0, Runtime = 40
Iteration 2, Neighborhood size 32, Makespan = 2592, Flowtime = 0, Runtime = 40
Iteration 3, Neighborhood size 32, Makespan = 2522, Flowtime = 0, Runtime = 41
Iteration 4, Neighborhood size 32, Makespan = 2440, Flowtime = 0, Runtime = 41
Iteration 5, Neighborhood size 32, Makespan = 2301, Flowtime = 0, Runtime = 42
Iteration 6, Neighborhood size 32, Makespan = 2203, Flowtime = 0, Runtime = 42
Iteration 7, Neighborhood size 32, Makespan = 2129, Flowtime = 0, Runtime = 42
Iteration 8, Neighborhood size 32, Makespan = 1982, Flowtime = 0, Runtime = 42
Iteration 9, Neighborhood size 32, Makespan = 1880, Flowtime = 0, Runtime = 43
Iteration 10, Neighborhood size 32, Makespan = 1813, Flowtime = 0, Runtime = 43
Iteration 11, Neighborhood size 32, Makespan = 1758, Flowtime = 0, Runtime = 43
Iteration 12, Neighborhood size 32, Makespan = 1721, Flowtime = 0, Runtime = 44
Iteration 13, Neighborhood size 32, Makespan = 1593, Flowtime = 0, Runtime = 44
Iteration 14, Neighborhood size 32, Makespan = 1547, Flowtime = 0, Runtime = 44
Iteration 15, Neighborhood size 32, Makespan = 1482, Flowtime = 0, Runtime = 45
Iteration 16, Neighborhood size 32, Makespan = 1429, Flowtime = 0, Runtime = 45
Iteration 17, Neighborhood size 32, Makespan = 1409, Flowtime = 0, Runtime = 45
Iteration 18, Neighborhood size 32, Makespan = 1357, Flowtime = 0, Runtime = 45
Iteration 20, Neighborhood size 32, Makespan = 1340, Flowtime = 0, Runtime = 46
Iteration 21, Neighborhood size 32, Makespan = 1336, Flowtime = 0, Runtime = 46
Iteration 22, Neighborhood size 32, Makespan = 1319, Flowtime = 0, Runtime = 46
Iteration 23, Neighborhood size 32, Makespan = 1301, Flowtime = 0, Runtime = 47
Iteration 24, Neighborhood size 32, Makespan = 1280, Flowtime = 0, Runtime = 47
Iteration 25, Neighborhood size 32, Makespan = 1261, Flowtime = 0, Runtime = 47
Iteration 26, Neighborhood size 32, Makespan = 1255, Flowtime = 0, Runtime = 48
Iteration 27, Neighborhood size 32, Makespan = 1248, Flowtime = 0, Runtime = 48
Iteration 28, Neighborhood size 32, Makespan = 1222, Flowtime = 0, Runtime = 48
Iteration 29, Neighborhood size 32, Makespan = 1218, Flowtime = 0, Runtime = 48
Iteration 30, Neighborhood size 32, Makespan = 1210, Flowtime = 0, Runtime = 49
Iteration 32, Neighborhood size 32, Makespan = 1201, Flowtime = 0, Runtime = 49
Iteration 37, Neighborhood size 32, Makespan = 1200, Flowtime = 0, Runtime = 51
Iteration 40, Neighborhood size 32, Makespan = 1194, Flowtime = 0, Runtime = 51
Iteration 45, Neighborhood size 32, Makespan = 1192, Flowtime = 0, Runtime = 53
Iteration 46, Neighborhood size 32, Makespan = 1186, Flowtime = 0, Runtime = 53
Iteration 47, Neighborhood size 32, Makespan = 1174, Flowtime = 0, Runtime = 53
Iteration 53, Neighborhood size 32, Makespan = 1168, Flowtime = 0, Runtime = 55
Iteration 70, Neighborhood size 32, Makespan = 1165, Flowtime = 0, Runtime = 60
Iteration 74, Neighborhood size 32, Makespan = 1164, Flowtime = 0, Runtime = 61
Iteration 88, Neighborhood size 32, Makespan = 1156, Flowtime = 0, Runtime = 65
Iteration 90, Neighborhood size 32, Makespan = 1139, Flowtime = 0, Runtime = 65
Iteration 99, Neighborhood size 32, Makespan = 1136, Flowtime = 0, Runtime = 68
Iteration 108, Neighborhood size 32, Makespan = 1132, Flowtime = 0, Runtime = 70
Iteration 147, Neighborhood size 32, Makespan = 1129, Flowtime = 0, Runtime = 81
Iteration 158, Neighborhood size 32, Makespan = 1126, Flowtime = 0, Runtime = 84
Iteration 160, Neighborhood size 32, Makespan = 1123, Flowtime = 0, Runtime = 84
Iteration 188, Neighborhood size 32, Makespan = 1119, Flowtime = 0, Runtime = 92
Iteration 193, Neighborhood size 32, Makespan = 1118, Flowtime = 0, Runtime = 93
Iteration 202, Neighborhood size 32, Makespan = 1117, Flowtime = 0, Runtime = 95
Iteration 222, Neighborhood size 32, Makespan = 1116, Flowtime = 0, Runtime = 101
Iteration 236, Neighborhood size 32, Makespan = 1114, Flowtime = 0, Runtime = 105
Iteration 467, Neighborhood size 32, Makespan = 1109, Flowtime = 0, Runtime = 167
Iteration 602, Neighborhood size 32, Makespan = 1106, Flowtime = 0, Runtime = 203
Iteration 722, Neighborhood size 32, Makespan = 1104, Flowtime = 0, Runtime = 235
Iteration 931, Neighborhood size 32, Makespan = 1101, Flowtime = 0, Runtime = 291
Iteration 932, Neighborhood size 32, Makespan = 1098, Flowtime = 0, Runtime = 291
Iteration 1118, Neighborhood size 32, Makespan = 1097, Flowtime = 0, Runtime = 341
