Initial makespan = 2792, Initial flowtime = 0, runtime = 43.3195
Iteration 1, Neighborhood size 8, Makespan = 2750, Flowtime = 0, Runtime = 43
Iteration 2, Neighborhood size 8, Makespan = 2734, Flowtime = 0, Runtime = 43
Iteration 4, Neighborhood size 8, Makespan = 2672, Flowtime = 0, Runtime = 43
Iteration 8, Neighborhood size 8, Makespan = 2660, Flowtime = 0, Runtime = 43
Iteration 10, Neighborhood size 8, Makespan = 2528, Flowtime = 0, Runtime = 43
Iteration 11, Neighborhood size 8, Makespan = 2512, Flowtime = 0, Runtime = 43
Iteration 12, Neighborhood size 8, Makespan = 2482, Flowtime = 0, Runtime = 43
Iteration 16, Neighborhood size 8, Makespan = 2420, Flowtime = 0, Runtime = 44
Iteration 20, Neighborhood size 8, Makespan = 2402, Flowtime = 0, Runtime = 44
Iteration 23, Neighborhood size 8, Makespan = 2356, Flowtime = 0, Runtime = 44
Iteration 27, Neighborhood size 8, Makespan = 2334, Flowtime = 0, Runtime = 44
Iteration 29, Neighborhood size 8, Makespan = 2328, Flowtime = 0, Runtime = 44
Iteration 31, Neighborhood size 8, Makespan = 2270, Flowtime = 0, Runtime = 45
Iteration 32, Neighborhood size 8, Makespan = 2266, Flowtime = 0, Runtime = 45
Iteration 33, Neighborhood size 8, Makespan = 2248, Flowtime = 0, Runtime = 45
Iteration 34, Neighborhood size 8, Makespan = 2224, Flowtime = 0, Runtime = 45
Iteration 36, Neighborhood size 8, Makespan = 2218, Flowtime = 0, Runtime = 45
Iteration 37, Neighborhood size 8, Makespan = 2210, Flowtime = 0, Runtime = 45
Iteration 39, Neighborhood size 8, Makespan = 2176, Flowtime = 0, Runtime = 45
Iteration 40, Neighborhood size 8, Makespan = 2130, Flowtime = 0, Runtime = 45
Iteration 42, Neighborhood size 8, Makespan = 2127, Flowtime = 0, Runtime = 45
Iteration 47, Neighborhood size 8, Makespan = 2117, Flowtime = 0, Runtime = 45
Iteration 48, Neighborhood size 8, Makespan = 2090, Flowtime = 0, Runtime = 45
Iteration 50, Neighborhood size 8, Makespan = 2067, Flowtime = 0, Runtime = 45
Iteration 51, Neighborhood size 8, Makespan = 2059, Flowtime = 0, Runtime = 46
Iteration 53, Neighborhood size 8, Makespan = 2057, Flowtime = 0, Runtime = 46
Iteration 55, Neighborhood size 8, Makespan = 2056, Flowtime = 0, Runtime = 46
Iteration 59, Neighborhood size 8, Makespan = 2034, Flowtime = 0, Runtime = 46
Iteration 60, Neighborhood size 8, Makespan = 2010, Flowtime = 0, Runtime = 46
Iteration 61, Neighborhood size 8, Makespan = 1998, Flowtime = 0, Runtime = 46
Iteration 62, Neighborhood size 8, Makespan = 1982, Flowtime = 0, Runtime = 46
Iteration 63, Neighborhood size 8, Makespan = 1962, Flowtime = 0, Runtime = 46
Iteration 65, Neighborhood size 8, Makespan = 1961, Flowtime = 0, Runtime = 46
Iteration 66, Neighborhood size 8, Makespan = 1959, Flowtime = 0, Runtime = 46
Iteration 68, Neighborhood size 8, Makespan = 1941, Flowtime = 0, Runtime = 46
Iteration 71, Neighborhood size 8, Makespan = 1933, Flowtime = 0, Runtime = 47
Iteration 72, Neighborhood size 8, Makespan = 1932, Flowtime = 0, Runtime = 47
Iteration 75, Neighborhood size 8, Makespan = 1931, Flowtime = 0, Runtime = 47
Iteration 77, Neighborhood size 8, Makespan = 1887, Flowtime = 0, Runtime = 47
Iteration 78, Neighborhood size 8, Makespan = 1883, Flowtime = 0, Runtime = 47
Iteration 79, Neighborhood size 8, Makespan = 1867, Flowtime = 0, Runtime = 47
Iteration 81, Neighborhood size 8, Makespan = 1832, Flowtime = 0, Runtime = 47
Iteration 83, Neighborhood size 8, Makespan = 1797, Flowtime = 0, Runtime = 47
Iteration 84, Neighborhood size 8, Makespan = 1792, Flowtime = 0, Runtime = 47
Iteration 86, Neighborhood size 8, Makespan = 1786, Flowtime = 0, Runtime = 47
Iteration 87, Neighborhood size 8, Makespan = 1785, Flowtime = 0, Runtime = 47
Iteration 89, Neighborhood size 8, Makespan = 1783, Flowtime = 0, Runtime = 48
Iteration 90, Neighborhood size 8, Makespan = 1780, Flowtime = 0, Runtime = 48
Iteration 93, Neighborhood size 8, Makespan = 1774, Flowtime = 0, Runtime = 48
Iteration 94, Neighborhood size 8, Makespan = 1769, Flowtime = 0, Runtime = 48
Iteration 95, Neighborhood size 8, Makespan = 1767, Flowtime = 0, Runtime = 48
Iteration 97, Neighborhood size 8, Makespan = 1765, Flowtime = 0, Runtime = 48
Iteration 98, Neighborhood size 8, Makespan = 1743, Flowtime = 0, Runtime = 48
Iteration 100, Neighborhood size 8, Makespan = 1742, Flowtime = 0, Runtime = 48
Iteration 103, Neighborhood size 8, Makespan = 1741, Flowtime = 0, Runtime = 48
Iteration 105, Neighborhood size 8, Makespan = 1739, Flowtime = 0, Runtime = 48
Iteration 108, Neighborhood size 8, Makespan = 1725, Flowtime = 0, Runtime = 48
Iteration 110, Neighborhood size 8, Makespan = 1723, Flowtime = 0, Runtime = 49
Iteration 122, Neighborhood size 8, Makespan = 1718, Flowtime = 0, Runtime = 49
Iteration 123, Neighborhood size 8, Makespan = 1712, Flowtime = 0, Runtime = 49
Iteration 126, Neighborhood size 8, Makespan = 1701, Flowtime = 0, Runtime = 49
Iteration 127, Neighborhood size 8, Makespan = 1691, Flowtime = 0, Runtime = 49
Iteration 129, Neighborhood size 8, Makespan = 1687, Flowtime = 0, Runtime = 49
Iteration 130, Neighborhood size 8, Makespan = 1686, Flowtime = 0, Runtime = 49
Iteration 131, Neighborhood size 8, Makespan = 1676, Flowtime = 0, Runtime = 50
Iteration 132, Neighborhood size 8, Makespan = 1672, Flowtime = 0, Runtime = 50
Iteration 133, Neighborhood size 8, Makespan = 1671, Flowtime = 0, Runtime = 50
Iteration 134, Neighborhood size 8, Makespan = 1668, Flowtime = 0, Runtime = 50
Iteration 135, Neighborhood size 8, Makespan = 1667, Flowtime = 0, Runtime = 50
Iteration 136, Neighborhood size 8, Makespan = 1666, Flowtime = 0, Runtime = 50
Iteration 138, Neighborhood size 8, Makespan = 1662, Flowtime = 0, Runtime = 50
Iteration 139, Neighborhood size 8, Makespan = 1658, Flowtime = 0, Runtime = 50
Iteration 140, Neighborhood size 8, Makespan = 1651, Flowtime = 0, Runtime = 50
Iteration 142, Neighborhood size 8, Makespan = 1650, Flowtime = 0, Runtime = 50
Iteration 144, Neighborhood size 8, Makespan = 1639, Flowtime = 0, Runtime = 50
Iteration 146, Neighborhood size 8, Makespan = 1632, Flowtime = 0, Runtime = 50
Iteration 147, Neighborhood size 8, Makespan = 1629, Flowtime = 0, Runtime = 50
Iteration 149, Neighborhood size 8, Makespan = 1627, Flowtime = 0, Runtime = 50
Iteration 150, Neighborhood size 8, Makespan = 1623, Flowtime = 0, Runtime = 50
Iteration 151, Neighborhood size 8, Makespan = 1617, Flowtime = 0, Runtime = 50
Iteration 152, Neighborhood size 8, Makespan = 1609, Flowtime = 0, Runtime = 50
Iteration 155, Neighborhood size 8, Makespan = 1604, Flowtime = 0, Runtime = 51
Iteration 156, Neighborhood size 8, Makespan = 1603, Flowtime = 0, Runtime = 51
Iteration 159, Neighborhood size 8, Makespan = 1602, Flowtime = 0, Runtime = 51
Iteration 160, Neighborhood size 8, Makespan = 1600, Flowtime = 0, Runtime = 51
Iteration 164, Neighborhood size 8, Makespan = 1593, Flowtime = 0, Runtime = 51
Iteration 165, Neighborhood size 8, Makespan = 1587, Flowtime = 0, Runtime = 51
Iteration 166, Neighborhood size 8, Makespan = 1582, Flowtime = 0, Runtime = 51
Iteration 172, Neighborhood size 8, Makespan = 1579, Flowtime = 0, Runtime = 51
Iteration 173, Neighborhood size 8, Makespan = 1578, Flowtime = 0, Runtime = 51
Iteration 184, Neighborhood size 8, Makespan = 1564, Flowtime = 0, Runtime = 52
Iteration 185, Neighborhood size 8, Makespan = 1562, Flowtime = 0, Runtime = 52
Iteration 186, Neighborhood size 8, Makespan = 1561, Flowtime = 0, Runtime = 52
Iteration 187, Neighborhood size 8, Makespan = 1556, Flowtime = 0, Runtime = 52
Iteration 190, Neighborhood size 8, Makespan = 1555, Flowtime = 0, Runtime = 52
Iteration 192, Neighborhood size 8, Makespan = 1554, Flowtime = 0, Runtime = 52
Iteration 194, Neighborhood size 8, Makespan = 1549, Flowtime = 0, Runtime = 52
Iteration 195, Neighborhood size 8, Makespan = 1547, Flowtime = 0, Runtime = 52
Iteration 196, Neighborhood size 8, Makespan = 1546, Flowtime = 0, Runtime = 52
Iteration 198, Neighborhood size 8, Makespan = 1544, Flowtime = 0, Runtime = 53
Iteration 199, Neighborhood size 8, Makespan = 1540, Flowtime = 0, Runtime = 53
Iteration 202, Neighborhood size 8, Makespan = 1528, Flowtime = 0, Runtime = 53
Iteration 208, Neighborhood size 8, Makespan = 1526, Flowtime = 0, Runtime = 53
Iteration 210, Neighborhood size 8, Makespan = 1524, Flowtime = 0, Runtime = 53
Iteration 215, Neighborhood size 8, Makespan = 1520, Flowtime = 0, Runtime = 53
Iteration 217, Neighborhood size 8, Makespan = 1517, Flowtime = 0, Runtime = 53
Iteration 218, Neighborhood size 8, Makespan = 1516, Flowtime = 0, Runtime = 53
Iteration 220, Neighborhood size 8, Makespan = 1514, Flowtime = 0, Runtime = 53
Iteration 221, Neighborhood size 8, Makespan = 1512, Flowtime = 0, Runtime = 54
Iteration 222, Neighborhood size 8, Makespan = 1506, Flowtime = 0, Runtime = 54
Iteration 227, Neighborhood size 8, Makespan = 1492, Flowtime = 0, Runtime = 54
Iteration 232, Neighborhood size 8, Makespan = 1491, Flowtime = 0, Runtime = 54
Iteration 234, Neighborhood size 8, Makespan = 1490, Flowtime = 0, Runtime = 54
Iteration 235, Neighborhood size 8, Makespan = 1485, Flowtime = 0, Runtime = 54
Iteration 236, Neighborhood size 8, Makespan = 1483, Flowtime = 0, Runtime = 54
Iteration 237, Neighborhood size 8, Makespan = 1482, Flowtime = 0, Runtime = 54
Iteration 238, Neighborhood size 8, Makespan = 1479, Flowtime = 0, Runtime = 54
Iteration 240, Neighborhood size 8, Makespan = 1478, Flowtime = 0, Runtime = 54
Iteration 241, Neighborhood size 8, Makespan = 1472, Flowtime = 0, Runtime = 54
Iteration 242, Neighborhood size 8, Makespan = 1466, Flowtime = 0, Runtime = 54
Iteration 245, Neighborhood size 8, Makespan = 1461, Flowtime = 0, Runtime = 55
Iteration 246, Neighborhood size 8, Makespan = 1460, Flowtime = 0, Runtime = 55
Iteration 248, Neighborhood size 8, Makespan = 1451, Flowtime = 0, Runtime = 55
Iteration 252, Neighborhood size 8, Makespan = 1446, Flowtime = 0, Runtime = 55
Iteration 254, Neighborhood size 8, Makespan = 1445, Flowtime = 0, Runtime = 55
Iteration 255, Neighborhood size 8, Makespan = 1443, Flowtime = 0, Runtime = 55
